tracker	detector	nn	learner	sum
7	29	0	1	37
6	31	0	1	38
7	29	0	1	37
7	30	0	1	38
6	30	0	1	37
6	30	0	1	37
7	29	0	1	37
7	30	0	1	38
7	30	0	2	39
7	31	0	1	39
6	32	0	1	39
7	31	0	1	39
7	31	1	1	40
6	34	0	1	41
7	32	0	1	40
7	32	0	2	41
7	33	0	1	41
7	33	0	2	42
6	33	0	2	41
7	33	1	2	43
17	29	1	2	49
16	30	1	2	49
16	30	1	2	49
16	30	0	3	49
16	31	1	2	50
16	31	0	3	50
15	30	1	2	48
16	31	0	3	50
16	30	1	2	49
16	31	1	2	50
16	32	1	2	51
15	31	1	2	49
16	31	1	3	51
15	31	1	3	50
15	31	0	3	49
15	31	2	2	50
16	31	2	2	51
16	32	1	2	51
15	33	0	3	51
15	34	0	3	52
14	33	1	2	50
15	34	0	2	51
15	34	1	2	52
15	34	1	2	52
15	34	0	3	52
15	34	1	1	51
14	34	1	2	51
14	35	0	2	51
12	36	0	1	49
15	37	0	1	53
14	37	1	1	53
14	37	0	2	53
14	37	0	3	54
14	34	0	2	50
15	34	1	2	52
15	35	0	3	53
14	34	1	2	51
15	33	0	3	51
15	33	1	3	52
14	34	1	2	51
15	33	1	2	51
15	32	0	3	50
16	33	1	3	53
15	34	0	2	51
15	33	0	3	51
15	35	1	2	53
15	34	1	3	53
16	34	1	3	54
15	33	0	3	51
15	33	1	2	51
16	34	0	3	53
15	35	2	2	54
16	34	1	3	54
15	36	0	3	54
15	36	2	2	55
15	37	1	2	55
15	35	1	2	53
15	36	0	2	53
15	36	2	2	55
15	36	1	2	54
15	36	1	2	54
16	37	1	2	56
14	35	1	2	52
15	34	1	2	52
15	33	1	2	51
14	34	2	2	52
14	34	1	2	51
14	33	1	3	51
