141,125,231,164,1.000000
137,125,227,164,0.974390
132,125,222,164,0.982713
127,125,217,164,0.981638
124,125,214,164,0.968696
119,123,209,162,0.963424
115,123,205,162,0.948273
110,122,200,161,0.939471
106,122,196,161,0.930073
101,121,191,160,0.928388
96,120,186,159,0.914874
91,119,181,158,0.914719
86,118,176,157,0.922530
82,118,172,157,0.893511
76,117,166,156,0.945309
72,117,162,156,0.938774
67,116,157,155,0.934139
62,116,152,155,0.913865
57,116,147,155,0.869617
51,115,141,154,0.899007
45,115,135,154,0.923912
40,114,130,153,0.897925
34,115,124,154,0.891676
27,113,117,152,0.917543
21,114,111,153,0.936489
15,115,105,154,0.955545
10,116,100,155,0.952978
4,117,94,156,0.928858
-3,118,87,157,0.809637
-9,120,81,159,0.668312
-16,120,74,159,0.475584
-21,122,69,161,0.539736
-27,122,63,161,0.484351
-33,123,57,162,0.457799
-36,123,54,162,0.437466
-37,124,53,163,0.441809
-36,124,55,163,0.426669
-37,124,54,163,0.422727
-37,124,54,163,0.412559
-37,124,54,163,0.412039
-37,124,54,163,0.399535
-36,124,55,163,0.407277
-33,123,58,162,0.410145
-31,123,60,162,0.401912
-28,122,63,161,0.404823
-25,121,66,160,0.412977
-22,120,69,159,0.427712
-19,118,72,157,0.430895
-15,118,76,157,0.428673
-12,116,79,155,0.445993
-10,116,81,155,0.466527
-8,114,83,153,0.468059
-5,113,86,152,0.465933
-2,112,89,151,0.508910
0,110,91,149,0.529352
7,109,98,148,0.519499
10,107,102,146,0.515225
17,105,109,144,0.509353
20,104,112,143,0.517892
25,103,117,142,0.529588
31,102,123,141,0.522289
35,102,127,141,0.532347
42,101,134,140,0.513578
47,101,139,140,0.511193
51,101,143,140,0.528297
58,102,150,141,0.509715
62,102,154,141,0.509416
66,103,158,142,0.515504
66,105,158,144,0.514907
67,106,159,145,0.502535
68,107,160,146,0.501644
68,109,160,148,0.500623
68,110,160,149,0.503254
69,111,161,150,0.493691
70,113,162,152,0.492009
70,114,162,153,0.494796
70,115,162,154,0.496213
69,116,161,155,0.504181
69,117,161,156,0.500276
69,117,161,156,0.508010
69,118,161,157,0.491332
69,119,161,158,0.498014
68,119,160,158,0.494280
68,121,160,160,0.498799
68,121,160,160,0.489639
69,122,161,161,0.480572
68,123,160,162,0.471757
69,123,161,162,0.469472
69,125,161,164,0.477827
69,126,161,165,0.478761
68,127,160,166,0.484536
68,128,160,167,0.488340
67,128,159,167,0.478433
67,130,159,169,0.485286
66,130,158,169,0.477774
66,132,158,171,0.495912
66,132,157,171,0.483971
68,133,159,172,0.478139
69,134,160,173,0.487189
73,135,164,174,0.475924
74,137,165,176,0.482419
76,137,168,176,0.487936
78,139,170,178,0.479782
79,139,171,178,0.491164
81,141,173,180,0.497908
85,142,177,181,0.485152
89,142,181,181,0.489118
95,144,187,183,0.473886
97,145,189,184,0.484421
103,146,196,185,0.477393
106,148,199,187,0.473735
111,148,204,187,0.460852
115,150,208,189,0.468073
118,150,211,189,0.470784
123,151,216,190,0.462906
127,152,220,191,0.461729
130,152,223,191,0.462936
135,154,228,193,0.478633
138,154,231,193,0.483390
143,156,236,195,0.480634
147,156,240,195,0.490847
150,157,243,196,0.484912
155,157,248,196,0.479275
159,158,252,197,0.479052
164,159,257,198,0.469532
168,159,261,198,0.467651
172,160,265,199,0.469546
176,160,269,199,0.469292
180,161,273,200,0.463184
185,162,278,201,0.476050
187,163,280,202,0.483983
192,164,285,203,0.493301
194,165,287,204,0.513825
198,166,291,205,0.518540
202,166,295,205,0.509417
204,168,298,207,0.513705
208,168,302,207,0.498864
213,169,307,208,0.498985
213,170,307,209,0.495196
216,170,310,209,0.494086
216,172,310,211,0.487047
218,170,312,209,0.472596
220,172,314,211,0.465537
220,173,314,212,0.476291
223,173,317,212,0.464849
223,175,317,214,0.481990
225,175,319,214,0.479000
226,176,320,215,0.480069
225,177,319,216,0.470746
224,178,318,217,0.476755
223,180,317,219,0.476001
222,180,316,219,0.486037
221,181,315,220,0.480370
220,181,315,220,0.468112
219,183,313,222,0.467487
218,184,312,223,0.478981
218,186,312,225,0.469769
216,187,310,226,0.453714
216,188,310,227,0.451005
215,189,309,228,0.413497
214,190,308,229,0.437483
212,191,306,230,0.450666
211,192,305,231,0.476589
211,193,305,232,0.469283
209,194,303,233,0.492059
209,194,303,233,0.505180
208,194,302,233,0.499517
208,194,302,233,0.490155
207,194,301,233,0.513180
206,195,300,234,0.505367
205,194,299,233,0.511117
203,193,298,232,0.522626
203,192,298,231,0.491754
201,190,296,229,0.478555
201,189,296,228,0.477652
199,188,294,227,0.476552
198,186,293,225,0.494553
196,185,292,224,0.536990
194,183,290,222,0.532174
194,183,290,222,0.533807
191,181,288,220,0.532284
191,180,288,219,0.535779
189,178,286,217,0.540084
189,177,286,216,0.545410
188,176,285,215,0.536694
186,175,283,214,0.538286
186,174,283,213,0.525844
185,173,282,212,0.534177
183,172,281,211,0.543681
182,170,280,209,0.551435
180,170,278,209,0.548666
179,169,277,208,0.543901
178,168,276,207,0.540373
176,168,273,207,0.449942
175,166,272,205,0.413385
174,166,270,205,0.410934
172,165,268,204,0.390643
171,164,267,203,0.393604
169,163,265,202,0.414539
167,162,263,201,0.415960
167,162,262,201,0.398529
165,161,258,199,0.432480
164,160,257,198,0.445727
163,159,256,197,0.443957
162,158,255,196,0.434977
161,158,254,196,0.433326
159,156,252,194,0.436029
158,156,251,194,0.437568
155,154,250,193,0.434017
154,153,250,192,0.436496
153,152,250,191,0.383306
155,151,252,190,0.385287
155,151,252,190,0.387271
153,149,251,188,0.401215
152,150,250,189,0.385592
148,148,247,187,0.375347
147,147,247,186,0.361876
145,148,245,187,0.361751
144,147,244,186,0.365063
144,148,244,187,0.394597
142,147,242,186,0.409260
141,147,241,186,0.416959
139,146,240,185,0.403117
136,146,237,185,0.395782
135,145,240,185,0.412783
133,144,241,185,0.390231
134,144,244,186,0.369650
131,143,243,186,0.377736
130,143,242,186,0.389540
132,143,245,186,0.371416
131,143,247,187,0.357409
